Siglum	Source	RISM_abbrev
Antwerp	"Antwerp, Museum Mayer van den Bergh 303"	NL-Amb 303
AostaA	"Aosta, Biblioteca del Seminario Maggiore 9-E-17"	I-AO 17
AostaB	"Aosta, Biblioteca del Seminario Maggiore 9-E-19 (D 16)"	I-AO 19
Apt	"Apt, Cathédrale Sainte-Anne, Bibliothèque du Chapitre, 16bis"	F-APT 16 bis
ArrasA	"Arras, Bibliothèque Municipale 941 (341)"	F-AS 941
ArrasB	"Arras, Bibliothèque Municipale 983 (766), flyleaf"	F-AS 983
Arundel	"London, British Library, Arundel 14"	GB-Lbl 14
AshbNNN	"Florence, Biblioteca Medicea-Laurenziana, Ashburnham 999"	I-Fl 999
Assisi	"Assisi, Biblioteca Comunale 187"	I-Ac 187
Asti	"Asti, Biblioteca del Seminario Vescovile, MS without shelfmark"	I-ASs
Atri	"Atri, Archivio Capitolare, Sala Innocenzo IV, Cartella A, frammento 5"	I-ATac
Autun	"Autun, Bibliothèque Municipale 152 (olim 130)"	F-AUT 152
B-Ba	"Brussels, Archives du Royaume, Archives Ecclésiastiques 758"	B-Ba 758
B-La	"Liège, Archives de l'Etat, fonds de la cathédrale St. Lambert..."	B-La 1388
B-ML	"Mons, collection privée F. Leclercq"	B-Ml
BaB	"Bamberg, Staatliche Bibliothek, Theol. 74 (olim P.VI.19)"	D-BaB
BaC	"Bamberg, Staatsbibliothek, Lit. 41 (olim Ed.VI.5)"	D-BAs 41
Barc-Ger	"Barcelona, Biblioteca de Catalunya 971 and Gerona, Archivo Capitular, frag. 33/1"	E-G; E-Bcen 971
BarcA	"Barcelona, Biblioteca de Catalunya, BM 853"	E-Bcen 853
BarcAb	"Barcelona, Biblioteca de Catalunya, BM 853b"	E-Bd 853b
BarcAc-d	"Barcelona, Biblioteca de Catalunya, BM 853c/d"	E-Bd 853c/d
BarcB	"Barcelona, Biblioteca de L'Orfeó Català 2 (BarcB)"	E-Boc 2
BarcC	"Barcelona, Biblioteca de Catalunya 971 (olim 946)"	E-Bcen 971
BarcCc	"Barcelona, Biblioteca de Catalunya 971c"	E-Bd 971c
BarcD	"Barcelona, Archivo de la Corona de Aragón 144"	E-Bac 144
BarlowA	"Oxford, Bodleian Library, Barlow 22"	GB-Ob 22
BarlowB	"Oxford, Bodleian Library, Barlow 55"	GB-Ob 55
Basel	"Basel, Staatsarchiv, Urkunden-Fragment"	CH-Bst
Bergamo	"Bergamo, Biblioteca Civica, 'Angelo Mai' E IV 37"	I-BEbc 37
BerkeleyA	"Berkeley (California), University Library (olim Philipps 4450)"	US-BE
BerkeleyB	"Berkeley (UK), Berkeley Castle Library, Muniments, Select Roll 55"	GB-BERc 55
BerlinA	"Berlin, Deutsche Staatsbibliothek 40580"	D-Bds 40580
BerlinB	"Berlin, Deutsche Staatsbibliothek 40563"	D-Bds 40562
BernA	"Bern, Bürgerbibliothek A 421"	CH-BEb 421
Bero	"Beromünster, Stiftsbibliothek C 2"	CH-Bero
